batch_id,index,operation,status,error,message,entity_id,raw_input
44747,0,set_statement,Done,,,Q140795087,"Q140795087|P1343|Q140795165|S854|""https://dl.acm.org/doi/10.1145/3687998.3717058""|S813|+2026-06-18T00:00:00Z/11"
44747,1,set_statement,Done,,,Q140795088,"Q140795088|P1343|Q140795166|S854|""https://dl.acm.org/doi/10.1145/3687998.3717055""|S813|+2026-06-18T00:00:00Z/11"
44747,2,set_statement,Done,,,Q140795089,"Q140795089|P1343|Q140795167|S854|""https://dl.acm.org/doi/10.1145/3687998.3717052""|S813|+2026-06-18T00:00:00Z/11"
44747,3,set_statement,Done,,,Q140795090,"Q140795090|P1343|Q140795168|S854|""https://dl.acm.org/doi/10.1145/3687998.3717045""|S813|+2026-06-18T00:00:00Z/11"
44747,4,set_statement,Done,,,Q140795094,"Q140795094|P1343|Q140795169|S854|""https://dl.acm.org/doi/10.1145/3687998.3717043""|S813|+2026-06-18T00:00:00Z/11"
44747,5,set_statement,Done,,,Q140795098,"Q140795098|P1343|Q140795170|S854|""https://dl.acm.org/doi/10.1145/3687998.3717046""|S813|+2026-06-18T00:00:00Z/11"
44747,6,set_statement,Done,,,Q140795100,"Q140795100|P1343|Q140795171|S854|""https://dl.acm.org/doi/10.1145/3687998.3717057""|S813|+2026-06-18T00:00:00Z/11"
44747,7,set_statement,Done,,,Q140795102,"Q140795102|P1343|Q140795172|S854|""https://dl.acm.org/doi/10.1145/3687998.3717044""|S813|+2026-06-18T00:00:00Z/11"
44747,8,set_statement,Done,,,Q140795104,"Q140795104|P1343|Q140795173|S854|""https://reproducibility.sigmod.org/rep_rep/2023/SIGMOD23ARIReport-10.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,9,set_statement,Done,,,Q140795105,"Q140795105|P1343|Q140795174|S854|""https://reproducibility.sigmod.org/rep_rep/2023/SIGMOD23ARIReport-11.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,10,set_statement,Done,,,Q140795106,"Q140795106|P1343|Q140795175|S854|""https://reproducibility.sigmod.org/rep_rep/2023/SIGMOD23ARIReport-13.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,11,set_statement,Done,,,Q140795108,"Q140795108|P1343|Q140795176|S854|""https://reproducibility.sigmod.org/rep_rep/2023/SIGMOD23ARIReport-19.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,12,set_statement,Done,,,Q140795109,"Q140795109|P1343|Q140795177|S854|""https://reproducibility.sigmod.org/rep_rep/2023/SIGMOD23ARIReport-22.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,13,set_statement,Done,,,Q140795110,"Q140795110|P1343|Q140795178|S854|""https://reproducibility.sigmod.org/rep_rep/2023/SIGMOD23ARIReport-24.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,14,set_statement,Done,,,Q140795111,"Q140795111|P1343|Q140795179|S854|""https://reproducibility.sigmod.org/rep_rep/2023/SIGMOD23ARIReport-27.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,15,set_statement,Done,,,Q140795114,"Q140795114|P1343|Q140795180|S854|""https://reproducibility.sigmod.org/rep_rep/2023/SIGMOD23ARIReport-32.pdf""|S813|+2026-06-18T00:00:00Z/11"
