batch_id,index,operation,status,error,message,entity_id,raw_input
44708,0,set_statement,Done,,,Q140783036,Q140783036|P1343|Q140788189
44708,1,set_statement,Done,,,Q140783037,Q140783037|P1343|Q113307870
44708,2,set_statement,Done,,,Q140783038,Q140783038|P1343|Q113307920
44708,3,set_statement,Done,,,Q140783039,Q140783039|P1343|Q113307841
44708,4,set_statement,Done,,,Q140783041,Q140783041|P1343|Q58053020
44708,5,set_statement,Done,,,Q140783042,Q140783042|P1343|Q113308146
44708,6,set_statement,Done,,,Q140783043,Q140783043|P1343|Q113308323
44708,7,set_statement,Done,,,Q140783044,Q140783044|P1343|Q113308075
44708,8,set_statement,Done,,,Q140783045,Q140783045|P1343|Q110512128
44708,9,set_statement,Done,,,Q140783046,Q140783046|P1343|Q140788190
44708,10,set_statement,Done,,,Q140783048,Q140783048|P1343|Q140788191
44708,11,set_statement,Done,,,Q140783049,Q140783049|P1343|Q113227638
44708,12,set_statement,Done,,,Q140783050,Q140783050|P1343|Q113227749
44708,13,set_statement,Done,,,Q140783051,Q140783051|P1343|Q140788192
44708,14,set_statement,Done,,,Q140783052,Q140783052|P1343|Q113307851
44708,15,set_statement,Done,,,Q140783053,Q140783053|P1343|Q107904130
44708,16,set_statement,Done,,,Q140783054,Q140783054|P1343|Q140788193
44708,17,set_statement,Done,,,Q140783055,Q140783055|P1343|Q140788194
44708,18,set_statement,Done,,,Q140783056,Q140783056|P1343|Q140788196
44708,19,set_statement,Done,,,Q140783058,Q140783058|P1343|Q113308267
44708,20,set_statement,Done,,,Q140783059,Q140783059|P1343|Q140788197
44708,21,set_statement,Done,,,Q140783060,Q140783060|P1343|Q113308233
44708,22,set_statement,Done,,,Q140783061,Q140783061|P1343|Q140788198
44708,23,set_statement,Done,,,Q140783062,Q140783062|P1343|Q140788199
44708,24,set_statement,Done,,,Q140783065,Q140783065|P1343|Q140788200
44708,25,set_statement,Done,,,Q140783066,Q140783066|P1343|Q113308123
44708,26,set_statement,Done,,,Q140783067,Q140783067|P1343|Q140788201
44708,27,set_statement,Done,,,Q140783068,Q140783068|P1343|Q113227990
