batch_id,index,operation,status,error,message,entity_id,raw_input
44742,29,set_statement,Done,,,Q140794599,"Q140794599|P1343|Q140794879|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2017.208""|S813|+2026-06-18T00:00:00Z/11"
44742,30,set_statement,Done,,,Q140794600,"Q140794600|P1343|Q140794880|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2017.181""|S813|+2026-06-18T00:00:00Z/11"
44742,31,set_statement,Done,,,Q140794602,"Q140794602|P1343|Q140794881|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2012.llm-ksvd""|S813|+2026-06-18T00:00:00Z/11"
44742,32,set_statement,Done,,,Q140794603,"Q140794603|P1343|Q140794882|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2019.279""|S813|+2026-06-18T00:00:00Z/11"
44742,33,set_statement,Done,,,Q140794604,"Q140794604|P1343|Q140794883|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2017.189""|S813|+2026-06-18T00:00:00Z/11"
44742,34,set_statement,Done,,,Q140794605,"Q140794605|P1343|Q140794884|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2019.269""|S813|+2026-06-18T00:00:00Z/11"
44742,35,set_statement,Done,,,Q140794606,"Q140794606|P1343|Q140794885|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2011.m_qer""|S813|+2026-06-18T00:00:00Z/11"
44742,36,set_statement,Done,,,Q140794608,"Q140794608|P1343|Q140794886|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2015.44""|S813|+2026-06-18T00:00:00Z/11"
44742,37,set_statement,Done,,,Q140794609,"Q140794609|P1343|Q140794887|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2017.184""|S813|+2026-06-18T00:00:00Z/11"
44742,38,set_statement,Done,,,Q140794611,"Q140794611|P1343|Q140794888|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2016.141""|S813|+2026-06-18T00:00:00Z/11"
44742,39,set_statement,Done,,,Q140794612,"Q140794612|P1343|Q140794889|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2011.g_zwld""|S813|+2026-06-18T00:00:00Z/11"
44742,40,set_statement,Done,,,Q140794613,"Q140794613|P1343|Q140794890|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2014.79""|S813|+2026-06-18T00:00:00Z/11"
44742,41,set_statement,Done,,,Q140794614,"Q140794614|P1343|Q140794891|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2018.205""|S813|+2026-06-18T00:00:00Z/11"
