batch_id,index,operation,status,error,message,entity_id,raw_input
44920,48,remove_statement_by_value,Done,,,Q128235325,"-Q128235325|P356|""10.1016/j.softx.2019.02.005"""
44920,49,remove_statement_by_value,Done,,,Q114175947,"-Q114175947|P356|""10.1016/j.softx.2019.03.003"""
44920,50,remove_statement_by_value,Done,,,Q128566872,"-Q128566872|P356|""10.1016/j.softx.2018.12.001"""
44920,51,remove_statement_by_value,Done,,,Q128235381,"-Q128235381|P356|""10.1016/j.softx.2019.02.006"""
44920,52,remove_statement_by_value,Done,,,Q128116767,"-Q128116767|P356|""10.1016/j.softx.2019.04.003"""
44920,53,remove_statement_by_value,Done,,,Q122732018,"-Q122732018|P356|""10.1016/j.softx.2019.03.005"""
44920,54,remove_statement_by_value,Done,,,Q125944436,"-Q125944436|P356|""10.1016/j.softx.2019.03.007"""
44920,55,remove_statement_by_value,Done,,,Q121888415,"-Q121888415|P356|""10.1016/j.softx.2019.100238"""
44920,56,remove_statement_by_value,Done,,,Q128392735,"-Q128392735|P356|""10.1016/j.softx.2019.01.013"""
44920,57,remove_statement_by_value,Done,,,Q123023412,"-Q123023412|P356|""10.1016/j.softx.2019.01.002"""
44920,58,remove_statement_by_value,Done,,,Q127974639,"-Q127974639|P356|""10.1016/j.softx.2019.100239"""
44920,59,remove_statement_by_value,Done,,,Q115036793,"-Q115036793|P356|""10.1016/j.softx.2019.04.006"""
44920,60,remove_statement_by_value,Done,,,Q127901528,"-Q127901528|P356|""10.1016/j.softx.2019.100243"""
44920,61,remove_statement_by_value,Done,,,Q128005734,"-Q128005734|P356|""10.1016/j.softx.2019.04.002"""
44920,62,remove_statement_by_value,Done,,,Q127593814,"-Q127593814|P356|""10.1016/j.softx.2019.100257"""
44920,63,remove_statement_by_value,Done,,,Q127609339,"-Q127609339|P356|""10.1016/j.softx.2019.100259"""
44920,64,remove_statement_by_value,Done,,,Q127668605,"-Q127668605|P356|""10.1016/j.softx.2019.100251"""
44920,65,remove_statement_by_value,Done,,,Q122999504,"-Q122999504|P356|""10.1016/j.softx.2019.100273"""
44920,66,remove_statement_by_value,Done,,,Q127593898,"-Q127593898|P356|""10.1016/j.softx.2019.100265"""
44920,67,remove_statement_by_value,Done,,,Q113441132,"-Q113441132|P356|""10.1016/j.softx.2019.100263"""
44920,68,remove_statement_by_value,Done,,,Q127610881,"-Q127610881|P356|""10.1016/j.softx.2019.100270"""
44920,69,remove_statement_by_value,Done,,,Q127635902,"-Q127635902|P356|""10.1016/j.softx.2019.100261"""
44920,70,remove_statement_by_value,Done,,,Q127546334,"-Q127546334|P356|""10.1016/j.softx.2019.100277"""
44920,71,remove_statement_by_value,Done,,,Q115341220,"-Q115341220|P356|""10.1016/j.softx.2019.100297"""
44920,72,remove_statement_by_value,Done,,,Q127445115,"-Q127445115|P356|""10.1016/j.softx.2019.100287"""
44920,73,remove_statement_by_value,Done,,,Q127390172,"-Q127390172|P356|""10.1016/j.softx.2019.100305"""
44920,74,remove_statement_by_value,Done,,,Q115036790,"-Q115036790|P356|""10.1016/j.softx.2019.100307"""
44920,75,remove_statement_by_value,Done,,,Q127397076,"-Q127397076|P356|""10.1016/j.softx.2019.100299"""
44920,76,remove_statement_by_value,Done,,,Q127409230,"-Q127409230|P356|""10.1016/j.softx.2019.100302"""
44920,77,remove_statement_by_value,Done,,,Q126846273,"-Q126846273|P356|""10.1016/j.softx.2019.100303"""
