batch_id,index,operation,status,error,message,entity_id,raw_input
44744,241,set_statement,Done,,,Q140794945,"Q140794945|P2093|""Thomas Veit""|P1545|""3""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2021.336""|S813|+2026-06-18T00:00:00Z/11"
44744,242,set_statement,Done,,,Q140794946,"Q140794946|P2093|""Lluís Garrido""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2015.112""|S813|+2026-06-18T00:00:00Z/11"
44744,243,set_statement,Done,,,Q140794946,"Q140794946|P2093|""El Mostafa Kalmoun""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2015.112""|S813|+2026-06-18T00:00:00Z/11"
44744,244,set_statement,Done,,,Q140794947,"Q140794947|P2093|""Mauricio Delbracio""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2015.119""|S813|+2026-06-18T00:00:00Z/11"
44744,245,set_statement,Done,,,Q140794947,"Q140794947|P2093|""Pablo Musé""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2015.119""|S813|+2026-06-18T00:00:00Z/11"
44744,246,set_statement,Done,,,Q140794947,"Q140794947|P2093|""Antoni Buades""|P1545|""3""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2015.119""|S813|+2026-06-18T00:00:00Z/11"
44744,247,set_statement,Done,,,Q140794947,"Q140794947|P2093|""Jean-Michel Morel""|P1545|""4""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2015.119""|S813|+2026-06-18T00:00:00Z/11"
44744,248,set_statement,Done,,,Q140794948,"Q140794948|P2093|""Yohann Tendero""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2015.108""|S813|+2026-06-18T00:00:00Z/11"
44744,249,set_statement,Done,,,Q140794950,"Q140794950|P2093|""Vadim Fedorov""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2018.202""|S813|+2026-06-18T00:00:00Z/11"
44744,250,set_statement,Done,,,Q140794950,"Q140794950|P2093|""Coloma Ballester""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2018.202""|S813|+2026-06-18T00:00:00Z/11"
44744,251,set_statement,Done,,,Q140794951,"Q140794951|P2093|""Pascal Getreuer""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2011.g_igcs""|S813|+2026-06-18T00:00:00Z/11"
44744,252,set_statement,Done,,,Q140794952,"Q140794952|P2093|""Marco Mondelli""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2013.53""|S813|+2026-06-18T00:00:00Z/11"
44744,253,set_statement,Done,,,Q140794953,"Q140794953|P2093|""Ignacio Ramírez Paulino""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2021.286""|S813|+2026-06-18T00:00:00Z/11"
44744,254,set_statement,Done,,,Q140794953,"Q140794953|P2093|""Ignacio Hounie""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2021.286""|S813|+2026-06-18T00:00:00Z/11"
44744,255,set_statement,Done,,,Q140794954,"Q140794954|P2093|""Nicolas Normand""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2014.68""|S813|+2026-06-18T00:00:00Z/11"
44744,256,set_statement,Done,,,Q140794954,"Q140794954|P2093|""Robin Strand""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2014.68""|S813|+2026-06-18T00:00:00Z/11"
