batch_id,index,operation,status,error,message,entity_id,raw_input
44697,0,set_statement,Done,,,Q113307870,"Q113307870|P921|Q140783037|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.01338.json""|S813|+2026-06-18T00:00:00Z/11"
44697,1,set_statement,Done,,,Q113307920,"Q113307920|P921|Q140783038|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.01229.json""|S813|+2026-06-18T00:00:00Z/11"
44697,2,set_statement,Done,,,Q113307841,"Q113307841|P921|Q140783039|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.01444.json""|S813|+2026-06-18T00:00:00Z/11"
44697,3,set_statement,Done,,,Q58053020,"Q58053020|P921|Q140783041|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.00194.json""|S813|+2026-06-18T00:00:00Z/11"
44697,4,set_statement,Done,,,Q113308146,"Q113308146|P921|Q140783042|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.00650.json""|S813|+2026-06-18T00:00:00Z/11"
44697,5,set_statement,Done,,,Q113308323,"Q113308323|P921|Q140783043|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.00060.json""|S813|+2026-06-18T00:00:00Z/11"
44697,6,set_statement,Done,,,Q113308075,"Q113308075|P921|Q140783044|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.00869.json""|S813|+2026-06-18T00:00:00Z/11"
44697,7,set_statement,Done,,,Q110512128,"Q110512128|P921|Q140783045|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.03619.json""|S813|+2026-06-18T00:00:00Z/11"
44697,8,set_statement,Done,,,Q113227638,"Q113227638|P921|Q140783049|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.03596.json""|S813|+2026-06-18T00:00:00Z/11"
44697,9,set_statement,Done,,,Q113227749,"Q113227749|P921|Q140783050|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.02449.json""|S813|+2026-06-18T00:00:00Z/11"
44697,10,set_statement,Done,,,Q113307851,"Q113307851|P921|Q140783052|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.01411.json""|S813|+2026-06-18T00:00:00Z/11"
44697,11,set_statement,Done,,,Q107904130,"Q107904130|P921|Q140783053|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.02284.json""|S813|+2026-06-18T00:00:00Z/11"
44697,12,set_statement,Done,,,Q113308267,"Q113308267|P921|Q140783058|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.00242.json""|S813|+2026-06-18T00:00:00Z/11"
44697,13,set_statement,Done,,,Q113308233,"Q113308233|P921|Q140783060|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.00400.json""|S813|+2026-06-18T00:00:00Z/11"
44697,14,set_statement,Done,,,Q113308123,"Q113308123|P921|Q140783066|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.00718.json""|S813|+2026-06-18T00:00:00Z/11"
44697,15,set_statement,Done,,,Q113227990,"Q113227990|P921|Q140783068|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.00259.json""|S813|+2026-06-18T00:00:00Z/11"
44697,16,set_statement,Done,,,Q113307251,"Q113307251|P921|Q140783069|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.03257.json""|S813|+2026-06-18T00:00:00Z/11"
44697,17,set_statement,Done,,,Q113307326,"Q113307326|P921|Q140783071|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.02976.json""|S813|+2026-06-18T00:00:00Z/11"
44697,18,set_statement,Done,,,Q113227838,"Q113227838|P921|Q140783074|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.01799.json""|S813|+2026-06-18T00:00:00Z/11"
44697,19,set_statement,Done,,,Q113307875,"Q113307875|P921|Q140783079|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.01326.json""|S813|+2026-06-18T00:00:00Z/11"
44697,20,set_statement,Done,,,Q119695132,"Q119695132|P921|Q120703068|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.05040.json""|S813|+2026-06-18T00:00:00Z/11"
44697,21,set_statement,Done,,,Q114955088,"Q114955088|P921|Q140783084|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.04554.json""|S813|+2026-06-18T00:00:00Z/11"
44697,22,set_statement,Done,,,Q133848944,"Q133848944|P921|Q140783091|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.07843.json""|S813|+2026-06-18T00:00:00Z/11"
44697,23,set_statement,Done,,,Q113307402,"Q113307402|P921|Q140783092|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.02669.json""|S813|+2026-06-18T00:00:00Z/11"
44697,24,set_statement,Done,,,Q113307666,"Q113307666|P921|Q140783094|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.01970.json""|S813|+2026-06-18T00:00:00Z/11"
44697,25,set_statement,Done,,,Q113227683,"Q113227683|P921|Q140783095|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.03082.json""|S813|+2026-06-18T00:00:00Z/11"
44697,26,set_statement,Done,,,Q113307902,"Q113307902|P921|Q140783096|S248|Q50817797|S854|""https://joss.theoj.org/papers/10.21105/joss.01252.json""|S813|+2026-06-18T00:00:00Z/11"
