article_doi,venue,series_ordinal_P1545,author_name_P2093
10.21105/joss.01326,JOSS,1,Kai von Szadkowski
10.21105/joss.01326,JOSS,2,Simon Reichel
10.21105/joss.04874,JOSS,1,Marc Spiegelman
10.21105/joss.04874,JOSS,2,Owen Evans
10.21105/joss.04874,JOSS,3,Mark Ghiorso
10.21105/joss.04874,JOSS,4,Lucy Tweed
10.21105/joss.04874,JOSS,5,Cian Wilson
10.21105/joss.05040,JOSS,1,Koen Van Daele
10.21105/joss.05040,JOSS,2,Tinne Cahy
10.21105/joss.05040,JOSS,3,Wim De Clercq
10.21105/joss.05040,JOSS,4,Jonas Geuens
10.21105/joss.05040,JOSS,5,Bram Goessens
10.21105/joss.05040,JOSS,6,Jonathan Piraux
10.21105/joss.05040,JOSS,7,Bart Saelen
10.21105/joss.05040,JOSS,8,Maarten Taeymans
10.21105/joss.05040,JOSS,9,Cedrik Vanderhaegen
10.21105/joss.06914,JOSS,1,Joseph D. Carpinelli
10.21105/joss.06507,JOSS,1,Wenjie Li
10.21105/joss.06507,JOSS,2,Haoze Li
10.21105/joss.06507,JOSS,3,Qifan Song
10.21105/joss.06507,JOSS,4,Jean Honorio
10.21105/joss.05149,JOSS,1,Tanja Tornede
10.21105/joss.05149,JOSS,2,Alexander Tornede
10.21105/joss.05149,JOSS,3,Lukas Fehring
10.21105/joss.05149,JOSS,4,Lukas Gehring
10.21105/joss.05149,JOSS,5,Helena Graf
10.21105/joss.05149,JOSS,6,Jonas Hanselle
10.21105/joss.05149,JOSS,7,Felix Mohr
10.21105/joss.05149,JOSS,8,Marcel Wever
10.21105/joss.05074,JOSS,1,Simon R. Proud
10.21105/joss.04554,JOSS,1,Joren Six
10.21105/joss.04389,JOSS,1,Julian Karl Bauer
10.21105/joss.04389,JOSS,2,Philipp Lothar Kinon
10.21105/joss.04389,JOSS,3,Jonas Hund
10.21105/joss.04389,JOSS,4,Lisa Latussek
10.21105/joss.04389,JOSS,5,Nils Meyer
10.21105/joss.04389,JOSS,6,Thomas Böhlke
10.21105/joss.05391,JOSS,1,Chenglin Niu
10.21105/joss.05391,JOSS,2,Dagang Guo
10.21105/joss.05391,JOSS,3,Marcus Eng Hock Ong
10.21105/joss.05391,JOSS,4,Zhi Xiong Koh
10.21105/joss.05391,JOSS,5,Guerry Alexiane Laure Marie-Alix
10.21105/joss.05391,JOSS,6,Andrew Fu Wah Ho
10.21105/joss.05391,JOSS,7,Zhiping Lin
10.21105/joss.05391,JOSS,8,Chengyu Liu
10.21105/joss.05391,JOSS,9,Gari D. Clifford
10.21105/joss.05391,JOSS,10,Nan Liu
10.21105/joss.05451,JOSS,1,Jakob L. Sønstebø
10.21105/joss.05451,JOSS,2,Herman Brunborg
10.21105/joss.05451,JOSS,3,Mikkel Elle Lepperød
10.21105/joss.04171,JOSS,1,Elizabeth Newman
10.21105/joss.04171,JOSS,2,Lars Ruthotto
10.21105/joss.05492,JOSS,1,Matthew G. Cooper
10.21105/joss.05492,JOSS,2,Tian Zhou
10.21105/joss.05776,JOSS,1,Arnau Quera-Bofarull
10.21105/joss.05776,JOSS,2,Joel Dyer
10.21105/joss.05776,JOSS,3,Anisoara Calinescu
10.21105/joss.05776,JOSS,4,J. Doyne Farmer
10.21105/joss.05776,JOSS,5,Michael Wooldridge
10.21105/joss.07843,JOSS,1,Wenbo Wu
10.21105/joss.07843,JOSS,2,Xinyi Zhang
10.21105/joss.07843,JOSS,3,Jann Spiess
10.21105/joss.07843,JOSS,4,Rahul Ladhania
10.21105/joss.02669,JOSS,1,Neal Morton
